"","type1","name1","type2","name2"
"1","LINE","Lx2B","protein_coding","Kcnd2"
"2","LINE","L1MA9","protein_coding","4933430I17Rik"
"3","protein_coding","6430550D23Rik","protein_coding","Hdac9"
"4","protein_coding","Gnb1l","LTR","IAPEz-int"
"5","LTR","IAPEz-int","LTR","IAPEz-int"
"6","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"7","protein_coding","Grm7","LTR","ORR1B2-int"
"8","protein_coding","Kpna6","protein_coding","Reln"
"9","protein_coding","Bmp6","protein_coding","Dlg2"
"10","LTR","IAPLTR2a","protein_coding","Jarid2"
"11","protein_coding","Mdga2","protein_coding","Zcchc7"
"12","pseudogene","Pisd-ps2","protein_coding","Eif4enif1"
"13","protein_coding","Med14","protein_coding","Ccdc46"
"14","Other","RMER1C","protein_coding","Zfp111"
"15","protein_coding","Tuba1b","protein_coding","Lrrk1"
"16","protein_coding","Kdm2b","pseudogene","Gm16216"
"17","protein_coding","Upp2","protein_coding","Ptprn"
"18","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"19","protein_coding","Dhx35","rRNA_repeat","LSU-rRNA_Hsa"
"20","protein_coding","Dlg2","protein_coding","Frmd4a"
"21","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"22","LTR","IAPLTR2a","protein_coding","Ahcyl1"
"23","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"24","SINE","B3","LTR","IAPEz-int"
"25","LINE","L1_Mus1","protein_coding","2700062C07Rik"
"26","SINE","B1_Mm","protein_coding","Sacm1l"
"27","protein_coding","Fut8","protein_coding","Sacm1l"
"28","LTR","IAPEz-int","lincRNA","4930511M06Rik"
"29","SINE","B3","protein_coding","Ctnna2"
"30","SINE","B2_Mm1a","LINE","Lx8"
"31","LTR","ORR1D1","protein_coding","Odz4"
"32","LTR","ORR1A4","protein_coding","Dlgap1"
"33","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"34","LINE","L1_Mus4","Simple_repeat","(TCCC)n"
"35","LTR","IAPEz-int","LTR","IAPEz-int"
"36","LINE","L1Md_T","protein_coding","Cuedc1"
"37","protein_coding","Cacna1i","protein_coding","4930511M11Rik"
"38","protein_coding","Agrn","LTR","IAPEz-int"
"39","LTR","IAPEz-int","LTR","IAPEz-int"
"40","LTR","IAPEz-int","protein_coding","Cux2"
"41","Simple_repeat","(CATA)n","protein_coding","Sacm1l"
"42","LTR","MLT2B1","LTR","IAPEz-int"
"43","protein_coding","Ddo","protein_coding","Myrip"
"44","protein_coding","Wdfy4","protein_coding","Odz4"
"45","protein_coding","Zfp398","protein_coding","Fam155a"
"46","protein_coding","Otud3","protein_coding","Smc6"
"47","protein_coding","Wdr47","LTR","IAPEz-int"
"48","protein_coding","Rusc2","LTR","MuRRS4-int"
"49","LINE","L1_Mus1","LTR","IAPEz-int"
"50","LINE","L1Md_F2","LTR","MTD"
"51","protein_coding","Hip1","LINE","Lx6"
"52","protein_coding","Sacm1l","protein_coding","Sh3rf2"
"53","LINE","L1MC4","LTR","IAPEz-int"
"54","protein_coding","1700034F02Rik","protein_coding","Fut8"
"55","LTR","IAPEz-int","LTR","IAPEz-int"
"56","protein_coding","Scai","protein_coding","Cacna1e"
"57","LTR","IAPEz-int","LTR","IAPEz-int"
"58","protein_coding","Zfp398","protein_coding","Sacm1l"
"59","protein_coding","Stxbp4","LTR","MT2_Mm"
"60","protein_coding","Sacm1l","protein_coding","Fut8"
"61","rRNA_repeat","LSU-rRNA_Hsa","LTR","IAPEz-int"
"62","LTR","IAPEz-int","LTR","IAPEz-int"
"63","LTR","RLTR15","protein_coding","Sord"
"64","protein_coding","Ube3b","protein_coding","Nbea"
"65","LTR","IAPEz-int","LTR","IAPEz-int"
"66","LTR","IAPEz-int","protein_coding","Ptpra"
"67","protein_coding","Strn3","LINE","Lx2"
"68","lincRNA","Rian","Simple_repeat","(CA)n"
"69","rRNA_repeat","LSU-rRNA_Hsa","LTR","IAPEz-int"
"70","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","C230081A13Rik"
"71","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"72","protein_coding","Scn7a","SINE","RSINE1"
"73","protein_coding-noncoding","Tulp4","protein_coding","Dnm3"
"74","LTR","IAPEz-int","protein_coding","Sae1"
"75","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"76","protein_coding","Mtf2","protein_coding","4632411B12Rik"
"77","protein_coding","Yme1l1","LINE","Lx2B"
"78","protein_coding","Ube3b","protein_coding","1700112E06Rik"
"79","protein_coding","Hsd11b1","LINE","L1Md_A"
"80","protein_coding","Agtpbp1","protein_coding","Zfp398"
"81","protein_coding","Sacm1l","rRNA_repeat","LSU-rRNA_Hsa"
"82","protein_coding","Ap1g1","protein_coding","Sox6"
"83","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"84","LTR","IAPEz-int","LTR","IAPEz-int"
"85","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"86","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"87","protein_coding","Cenpo","protein_coding","Tead3"
"88","protein_coding","Rabgap1l","LTR","RLTR20C"
"89","protein_coding","Sacm1l","protein_coding","Dlgap1"
"90","protein_coding","Scarb1","protein_coding","Ank2"
"91","SINE","B1_Mm","protein_coding","Sacm1l"
"92","rRNA_repeat","LSU-rRNA_Hsa","LTR","IAPEz-int"
"93","protein_coding","Pafah2","protein_coding","Adarb2"
"94","protein_coding","Fbxl22","protein_coding","Iqgap2"
"95","LINE","L1Md_A","protein_coding","Clns1a"
"96","LTR","IAPEz-int","protein_coding","Pdzd2"
"97","LTR","IAPEz-int","protein_coding","Ctnnd2"
"98","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"99","LTR","IAPEz-int","protein_coding","Ankdd1b"
"100","protein_coding","Zfp398","protein_coding","Nlgn1"
"101","SINE","B3A","protein_coding","Edc3"
"102","protein_coding","Map3k1","rRNA_repeat","LSU-rRNA_Hsa"
"103","protein_coding","Nufip2","protein_coding","Dnajc1"
"104","protein_coding","Atp2b2","LTR","IAPEz-int"
"105","LTR","IAPEz-int","LTR","IAPEz-int"
"106","LINE","L1M2","protein_coding","1700081L11Rik"
"107","rRNA_repeat","LSU-rRNA_Hsa","rRNA_repeat","LSU-rRNA_Hsa"
"108","protein_coding","Sacm1l","protein_coding","Ptprj"
"109","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"110","LTR","IAPEz-int","protein_coding","Jarid2"
"111","protein_coding","Sacm1l","protein_coding","Dlgap1"
"112","protein_coding","Paqr6","LINE","L1_Mus1"
"113","protein_coding","Zc3h7a","LINE","L1Md_T"
"114","LINE","Lx","protein_coding","Sgcz"
"115","protein_coding","Zc3h7a","protein_coding","Sacm1l"
"116","protein_coding","Sppl3","protein_coding","AW554918"
"117","protein_coding","Gabrg3","SINE","B3"
"118","protein_coding","Sae1","protein_coding","Cbx7"
"119","protein_coding","Spock3","Unknown","YREP_Mm"
"120","protein_coding","Kcnd2","protein_coding","Strbp"
"121","protein_coding","Zc3h7a","protein_coding","1110034A24Rik"
"122","protein_coding","Sacm1l","protein_coding","Dlgap1"
"123","LINE","Lx2","rRNA_repeat","LSU-rRNA_Hsa"
"124","LINE","Lx2","protein_coding","Adcy9"
"125","LTR","ORR1A0","LINE","L1VL1"
"126","LTR","MurERV4_19-int","protein_coding","Gm12216"
"127","rRNA_repeat","LSU-rRNA_Hsa","rRNA_repeat","LSU-rRNA_Hsa"
"128","LTR","IAPEz-int","protein_coding","Sntg1"
"129","protein_coding","Pdlim5","LTR","MTA_Mm"
"130","protein_coding","Csf3r","LTR","IAPEz-int"
"131","LINE","L1_Mus1","protein_coding","Adcyap1r1"
"132","LTR","IAPEz-int","LTR","IAPEz-int"
"133","LTR","MuRRS4-int","protein_coding","Ttll5"
"134","LTR","IAPEz-int","LTR","IAPEz-int"
"135","LTR","IAPEz-int","LTR","IAPEz-int"
"136","protein_coding","Fut8","protein_coding","Sacm1l"
"137","protein_coding","Fut8","protein_coding","Sacm1l"
"138","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Sacm1l"
"139","protein_coding","Plcb1","LTR","IAPEz-int"
"140","LTR","IAPEz-int","LTR","IAPEz-int"
"141","protein_coding","Kpna1","LTR","IAPEz-int"
"142","LTR","IAPEz-int","protein_coding","Pnkd"
"143","SINE","B3A","protein_coding","Hook1"
"144","LTR","IAPEz-int","LTR","IAPEz-int"
"145","LTR","IAPLTR2a","protein_coding","Csf3r"
"146","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"147","protein_coding","Bcas3","LTR","MMERVK10C-int"
"148","protein_coding","Pdia4","protein_coding","1700028P14Rik"
"149","protein_coding","Lrrn2","LINE","L2a"
"150","Simple_repeat","(TG)n","lincRNA","6720401G13Rik"
"151","LINE","L1Md_T","protein_coding","Myom3"
"152","protein_coding","Sacm1l","protein_coding","Dlgap1"
"153","protein_coding","0610010F05Rik","protein_coding","Aff2"
"154","protein_coding","Zfp398","LTR","IAPEz-int"
"155","protein_coding","Kctd16","LINE","L1Md_F2"
"156","protein_coding","Dgki","protein_coding","Col9a2"
"157","LTR","IAPEz-int","LTR","IAPEz-int"
"158","protein_coding","Ncam2","SINE","B1_Mus1"
"159","LINE","L1Md_F3","protein_coding","Wdr47"
"160","protein_coding","Ube2v2","protein_coding","Cttnbp2nl"
"161","SINE","ID_B1","protein_coding","Ankrd13a"
"162","DNA","MER45C","protein_coding","Sntg1"
"163","LTR","IAPEz-int","LTR","IAPEz-int"
"164","LINE","L1ME3A","protein_coding","Nbea"
"165","LTR","IAPEz-int","LTR","IAPEz-int"
"166","LTR","IAPEz-int","LTR","IAPEz-int"
"167","protein_coding","Sppl3","LTR","IAPEz-int"
"168","protein_coding","Oas1b","protein_coding","Tcp10c"
"169","LTR","IAPEz-int","protein_coding","Sacm1l"
"170","protein_coding","Csmd3","protein_coding","Edc3"
"171","protein_coding","Itsn1","LTR","IAPEz-int"
"172","protein_coding","Ctnnd2","protein_coding","Plce1"
"173","LINE","L1Md_T","protein_coding","Sacm1l"
"174","protein_coding","Eya3","protein_coding","Mrvi1"
"175","protein_coding","C230081A13Rik","protein_coding","Dlgap1"
"176","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Map3k1"
"177","LTR","IAPEz-int","LTR","IAPEz-int"
"178","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"179","LTR","IAPEz-int","protein_coding-noncoding","Arhgef15"
"180","protein_coding","Mdga2","LINE","Lx4B"
"181","LINE","Lx3C","protein_coding","Zp3r"
"182","protein_coding","Sacm1l","protein_coding","Dlgap1"
"183","Simple_repeat","(TTTC)n","LTR","IAPEz-int"
"184","LTR","IAPEz-int","LTR","IAPEz-int"
"185","protein_coding","Gm2022","protein_coding","Rad51c"
"186","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","C230081A13Rik"
"187","protein_coding","Scara5","rRNA_repeat","LSU-rRNA_Hsa"
"188","LTR","IAPEz-int","rRNA_repeat","LSU-rRNA_Hsa"
"189","protein_coding","Sacm1l","protein_coding","Dlgap1"
"190","protein_coding","Itpr1","LINE","L1Md_F2"
"191","LTR","IAPEz-int","protein_coding","Ptger4"
"192","LINE","Lx8","protein_coding","Fer1l6"
"193","rRNA_repeat","LSU-rRNA_Hsa","LTR","IAPEz-int"
"194","LTR","RLTR10-int","protein_coding","Ppard"
"195","LTR","IAPEz-int","LTR","IAPEz-int"
"196","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Jarid2"
"197","protein_coding","Ar","SINE","RSINE1"
"198","LTR","IAPEz-int","protein_coding","Zfp398"
"199","protein_coding","Dlgap1","protein_coding","Sacm1l"
"200","protein_coding","Csmd1","protein_coding","4930402H24Rik"
"201","LTR","IAPEz-int","LTR","IAPEz-int"
"202","protein_coding","Tln1","LTR","IAPEz-int"
"203","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Slc24a6"
"204","protein_coding","Hk1","LTR","IAPEz-int"
"205","protein_coding","Plcd3","protein_coding","Sacm1l"
"206","rRNA_repeat","LSU-rRNA_Hsa","LINE","L1Md_T"
"207","LTR","IAPEz-int","LTR","IAPEz-int"
"208","protein_coding","Stmn2","LTR","IAPEz-int"
"209","LTR","ORR1E","LTR","IAPEz-int"
"210","protein_coding","Dnahc2","protein_coding","Zfp398"
"211","LTR","RLTR1B","protein_coding","Klhl3"
"212","protein_coding","Agbl4","LTR","ORR1A2"
"213","LINE","L1MC4","protein_coding","Ankdd1b"
"214","LINE","Lx4A","LTR","IAPEz-int"
"215","protein_coding","Rnf111","protein_coding","Spg11"
"216","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","Dlgap1"
"217","SINE","B3","protein_coding","Ralyl"
"218","protein_coding","Sacm1l","protein_coding","Gle1"
"219","LTR","IAPEz-int","LTR","IAPEz-int"
"220","protein_coding","Scap","protein_coding","Macrod2"
"221","protein_coding","Camk1d","rRNA_repeat","LSU-rRNA_Hsa"
"222","LTR","IAPEz-int","pseudogene","Gm3828"
"223","protein_coding","Cacna1d","protein_coding","Sacm1l"
"224","protein_coding","Cadm2","protein_coding","Zeb2"
"225","protein_coding","Gspt1","protein_coding","Pcdha4"
"226","protein_coding","Fut8","protein_coding","Sacm1l"
"227","protein_coding","Nrxn1","protein_coding","Mdga2"
"228","protein_coding","Lphn3","protein_coding","Kif3a"
"229","LTR","IAPEz-int","LTR","IAPEz-int"
"230","protein_coding","Tcof1","LINE","L1Md_F2"
"231","LTR","IAPEz-int","protein_coding-noncoding","Sgsm2"
"232","protein_coding","Atp2b2","protein_coding","Ptprd"
"233","protein_coding","Ptk2b","SINE","PB1D10"
"234","protein_coding","Sacm1l","protein_coding","Rasal2"
"235","protein_coding","Gpc6","processed_transcript","5830428H23Rik"
"236","LINE","L3","protein_coding","Pde8b"
"237","protein_coding","Chrnb1","LTR","IAPEz-int"
"238","LTR","IAPEz-int","protein_coding","Zmat4"
"239","protein_coding","Dner","protein_coding","Arhgap21"
"240","protein_coding","Dync1li1","protein_coding","Zfp398"
"241","rRNA_repeat","LSU-rRNA_Hsa","protein_coding","C230081A13Rik"
