gene1	gene2	type1	type2	interaction	bin	covfilter
ABCC1	ABCC1	coding	coding	intra	5000__5200	6
ABHD17A	ABHD17A	coding	coding	intra	700__900	18
ACLY	ACLY	coding	coding	intra	3800__4000	4
ACLY	ACLY	coding	coding	intra	4000__4100	4
ACTB	ACTB	coding	coding	intra	1300__1400	9
ACTB	ACTB	coding	coding	intra	500__600	4
ACTB	ACTB	coding	coding	intra	600__800	10
ACTB	ACTB	coding	coding	intra	700__800	11
ACTB	ACTB	coding	coding	intra	1200__1400	7
ACTB	ACTB	coding	coding	intra	1400__1700	195
ACTB	ACTB	coding	coding	intra	0__100	28
ACTB	ACTB	coding	coding	intra	100__600	7
ACTB	ACTB	coding	coding	intra	800__1000	18
ACTB	ACTB	coding	coding	intra	1000__1200	11
ACTB	ACTB	coding	coding	intra	1500__1600	9
ACTB	ACTB	coding	coding	intra	700__1700	17
ACTB	ACTB	coding	coding	intra	1200__1500	12
ACTB	ACTB	coding	coding	intra	1000__1700	14
ACTB	ACTB	coding	coding	intra	1400__1500	6
ACTB	ACTB	coding	coding	intra	1400__1600	7
ACTB	ACTB	coding	coding	intra	1600__1700	11
ACTB	ACTB	coding	coding	intra	200__500	13
ACTB	ACTB	coding	coding	intra	1500__1700	224
ACTB	ACTB	coding	coding	intra	1200__1600	8
ACTG1	ACTG1	coding	coding	intra	1500__1600	5
ACTG1	ACTG1	coding	coding	intra	1800__2000	7
ACTG1	ACTG1	coding	coding	intra	1500__1700	13
ACTG1	ACTG1	coding	coding	intra	0__1900	9
ACTG1	ACTG1	coding	coding	intra	1400__1700	28
ACTG1	ACTG1	coding	coding	intra	1700__2000	6
ACTG1	ACTG1	coding	coding	intra	300__800	5
ACTG1	ACTG1	coding	coding	intra	1400__1800	22
ACTG1	ACTG1	coding	coding	intra	1700__1800	22
ACTG1	ACTG1	coding	coding	intra	0__200	39
ACTG1	ACTG1	coding	coding	intra	1400__1900	8
ACTG1	ACTG1	coding	coding	intra	1600__1700	96
ACTG1	ACTG1	coding	coding	intra	700__900	6
ACTG1	ACTG1	coding	coding	intra	100__200	492
ACTG1	ACTG1	coding	coding	intra	1500__1800	16
ACTG1	ACTG1	coding	coding	intra	400__700	9
ACTG1	ACTG1	coding	coding	intra	700__1000	14
ACTG1	ACTG1	coding	coding	intra	1300__1500	4
ACTG1	ACTG1	coding	coding	intra	1900__2000	9
ACTG1	ACTG1	coding	coding	intra	1500__1900	4
ACTG1	ACTG1P20	coding	lncrna	inter	1500__2100	51
ACTN1	ACTN1	coding	coding	intra	2600__2700	5
ACTN4	ACTN4	coding	coding	intra	3000__3300	7
ACTN4	ACTN4	coding	coding	intra	3000__3200	6
ACTN4	ACTN4	coding	coding	intra	3000__3100	4
ADAM15	ADAM15	coding	coding	intra	1200__1400	4
ADAM15	ADAM15	coding	coding	intra	2300__2500	42
ADAR	ADAR	coding	coding	intra	6400__6600	5
ACTB	AES	coding	coding	inter	1600__1300	8
AFMID	AFMID	coding	coding	intra	300__800	5
AHNAK	AHNAK	coding	coding	intra	18300__18700	4
