"","geneNames","geneIDs","feature","id","fc","pval","qval"
"34",".","MSTRG.5","transcript","34",0.554667541746241,0.571864007550294,0.998079555657062
"35",".","MSTRG.5","transcript","35",0.980756364275271,0.990910264605432,0.998982933000517
"37",".","MSTRG.5","transcript","37",0.581685022747963,0.601182705816408,0.998127167654743
"84",".","MSTRG.18","transcript","84",0.106424130345184,0.0653453349833752,0.588547309398046
"92","MTND1P23","MSTRG.19","transcript","92",1.07859962688911,0.463820545027944,0.952111237084646
"93","MTND2P28","MSTRG.20","transcript","93",1.13121893020328,0.498605023834312,0.967965284864382
"94","MTCO1P12","MSTRG.18","transcript","94",0.986597237590876,0.809924106374872,0.998127167654743
"96","MTCO2P12","MSTRG.22","transcript","96",1.04161811261575,0.464835272193342,0.952464713666384
"97","MTATP8P1","MSTRG.23","transcript","97",0.822931571465801,0.0813933308728235,0.618311711912787
"98","MTATP6P1","MSTRG.23","transcript","98",0.959307653427236,0.486509712413311,0.963138905534846
"99","MTCO3P12","MSTRG.23","transcript","99",0.856814959575386,0.035515866273016,0.588547309398046
"180",".","MSTRG.36","transcript","180",0.611642702781485,0.116735380003103,0.687983737049964
"181","NOC2L","MSTRG.36","transcript","181",0.306470607093597,0.248148214250243,0.849689564902565
"183",".","MSTRG.36","transcript","183",17.6761626861193,0.298525372003343,0.886290040435201
"208","AL645608.4","MSTRG.39","transcript","208",0.869661214407858,0.695638768547015,0.998127167654743
"210","ISG15","MSTRG.38","transcript","210",7.30662026891371,0.0178792183846057,0.588547309398046
"211","AGRN","MSTRG.41","transcript","211",1.28273393991898,0.00778848276267907,0.588547309398046
"215","AGRN","MSTRG.41","transcript","215",1.7294607851176,0.538848222939921,0.983595397161554
"220","AGRN","MSTRG.41","transcript","220",0.712280295990258,0.399862740066343,0.920058845093923
"233","C1orf159","MSTRG.42","transcript","233",0.920404223512657,0.866263109233943,0.998127167654743
"269","SDF4","MSTRG.43","transcript","269",1.5612053275553,0.291037107790874,0.881331223014023
"270","SDF4","MSTRG.43","transcript","270",0.329179177665451,0.255626379491015,0.856391643317207
"272","SDF4","MSTRG.43","transcript","272",0.294555047335439,0.121725000584874,0.696074201961777
"273","SDF4","MSTRG.43","transcript","273",1.21738536772948,0.630909889526186,0.998127167654743
"276","B3GALT6","MSTRG.44","transcript","276",0.840874617731707,0.305488668683461,0.89099507717219
"285",".","MSTRG.48","transcript","285",0.159190940758671,0.0284193703133813,0.588547309398046
"286","UBE2J2","MSTRG.48","transcript","286",3.3242662839005,0.28546333027317,0.876991531063766
"287","UBE2J2","MSTRG.48","transcript","287",1.15398043181961,0.930995707281794,0.998127167654743
"288","UBE2J2","MSTRG.48","transcript","288",3.73464407049502,0.0174742835099692,0.588547309398046
"289","UBE2J2","MSTRG.48","transcript","289",1.22035781771663,0.833883321878057,0.998127167654743
"291","UBE2J2","MSTRG.48","transcript","291",2.42029074825828,0.333963205181908,0.900684312497574
"292","UBE2J2","MSTRG.48","transcript","292",0.22481674101454,0.153151386121495,0.74585425636781
"297","UBE2J2","MSTRG.48","transcript","297",0.313680591051297,0.228615335388557,0.833978476890575
"304",".","MSTRG.49","transcript","304",0.355437328432176,0.0616668151271402,0.588547309398046
"321",".","MSTRG.52","transcript","321",0.628132329388852,0.673564858495266,0.998127167654743
"331","PUSL1","MSTRG.54","transcript","331",0.975948137493814,0.985126531413428,0.99889212437772
"332",".","MSTRG.54","transcript","332",0.828895671539182,0.900574693750036,0.998127167654743
"333",".","MSTRG.54","transcript","333",1.84730851561421,0.427958610595881,0.934361906341354
"334",".","MSTRG.54","transcript","334",0.465472206628998,0.595292851751059,0.998127167654743
"335",".","MSTRG.54","transcript","335",2.11827150544142,0.407942237860111,0.924321388025392
"338","PUSL1","MSTRG.54","transcript","338",0.645394290704601,0.593047641732589,0.998127167654743
"345","INTS11","MSTRG.49","transcript","345",0.548863302543289,0.0629191946747929,0.588547309398046
"356","INTS11","MSTRG.49","transcript","356",1.23385174631348,0.833883321878057,0.998127167654743
"360","INTS11","MSTRG.49","transcript","360",3.7480492160297,0.0653453349833759,0.588547309398046
"361","INTS11","MSTRG.49","transcript","361",1.21643300399566,0.385963991176077,0.91461583763534
"365","INTS11","MSTRG.49","transcript","365",1.23830843090664,0.77366603986521,0.998127167654743
"366","INTS11","MSTRG.49","transcript","366",1.26757037084542,0.221219165269792,0.825421175239057
"370","INTS11","MSTRG.49","transcript","370",0.997664795240246,0.99738078644291,0.99952241946805
"371","INTS11","MSTRG.49","transcript","371",1.0482615194384,0.640586194541611,0.998127167654743
"396","DVL1","MSTRG.46","transcript","396",0.654848070466231,0.814554579304028,0.998127167654743
"397","DVL1","MSTRG.46","transcript","397",1.524585671372,0.729657831151685,0.998127167654743
"400","DVL1","MSTRG.46","transcript","400",0.968567547530206,0.985372466893076,0.99889212437772
