seqnames,seqlengths,isCircular,genome
chr1,248956422,FALSE,hg38
chr2,242193529,FALSE,hg38
chr3,198295559,FALSE,hg38
chr4,190214555,FALSE,hg38
chr5,181538259,FALSE,hg38
chr6,170805979,FALSE,hg38
chr7,159345973,FALSE,hg38
chr8,145138636,FALSE,hg38
chr9,138394717,FALSE,hg38
chr10,133797422,FALSE,hg38
chr11,135086622,FALSE,hg38
chr12,133275309,FALSE,hg38
chr13,114364328,FALSE,hg38
chr14,107043718,FALSE,hg38
chr15,101991189,FALSE,hg38
chr16,90338345,FALSE,hg38
chr17,83257441,FALSE,hg38
chr18,80373285,FALSE,hg38
chr19,58617616,FALSE,hg38
chr20,64444167,FALSE,hg38
chr21,46709983,FALSE,hg38
chr22,50818468,FALSE,hg38
chrX,156040895,FALSE,hg38
chrY,57227415,FALSE,hg38
chrM,16569,FALSE,hg38
