start1,end1,name1,start2,end2,name2
155822894,155822951,6430550D23Rik,34787722,34787794,Hdac9
129348607,129348697,Kpna6,21612449,21612506,Reln
38500035,38500121,Bmp6,9915717899158152,9915717999158166,Dlg2
67660141,67660221,Mdga2,44856761,44856849,Zcchc7
12265147,12265227,Med14,108309091,108309179,Ccdc46
9874279298762980,9874282998763044,Tuba1b,73409258,73409290,Lrrk1
58644878,58644958,Upp2,75247211,75247285,Ptprn
97870804,97870848,Dlg2,4320875,4320973,Frmd4a
143573516143687550,143573547143687600,Bfsp1,143546607143573440,143546664143573470,Pcsk2
78350919,78350998,Fut8,123461892,123461980,Sacm1l
56223573,56223670,C230081A13Rik,123462082,123462108,Sacm1l
56223578,56223668,C230081A13Rik,123462082,123462161,Sacm1l
80214908,80214998,Cacna1i,3679225,3679241,4930511M11Rik
84060835,84060871,Acaca,88906505,88906549,Dgke
40369993,40370083,Ddo,120308600,120308628,Myrip
33967622,33967702,Wdfy4,103550793,103550881,Odz4
47788070,47788157,Zfp398,9739676,9739706,Fam155a
138456977,138457012,Otud3,11326237,11326335,Smc6
123461938,123461968,Sacm1l,42222951,42223076,Sh3rf2
29463620,29463751,1700034F02Rik,78412353,78412371,Fut8
3900169039004106,3900176539004111,Scai,156366407,156366495,Cacna1e
47788071,47788172,Zfp398,123462080,123462096,Sacm1l
123462039,123462082,Sacm1l,78350925,78351021,Fut8
114851972,114851990,Ube3b,55468571,55468669,Nbea
7605651776072626,7605655976072664,Gfral,7607271176074667,7607272276074744,Hcrtr2
72236558,72236638,Timm9,7222345372236528,7222353972236530,Tomm20l
108518660,108518759,Mtf2,36424210,36424241,4632411B12Rik
114851985,114852003,Ube3b,23428646,23428744,1700112E06Rik
59637168,59637215,Agtpbp1,47788098,47788180,Zfp398
112309878,112309958,Ap1g1,122633289,122633377,Sox6
117687291,117687330,Afmid,117686984,117687084,RP23-268N22.1
42115814212078,42116054212165,Cenpo,2844105128485951,2844105328485963,Tead3
123462015,123462095,Sacm1l,70963672,70963760,Dlgap1
125788450,125788485,Scarb1,127010961127012670,127011051127012670,Ank2
133964825,133964885,Pafah2,8289034,8289132,Adarb2
66360444,66360496,Fbxl22,96400754,96400840,Iqgap2
47788092,47788182,Zfp398,25659542,25659612,Nlgn1
77507387,77507459,Nufip2,18188704,18188802,Dnajc1
123461937,123462027,Sacm1l,90395153,90395186,Ptprj
123462015,123462095,Sacm1l,70963681,70963769,Dlgap1
3958570139616268,3958576239616287,Dcstamp,39616362,39616450,Dpys
11144023,11144103,Zc3h7a,123462016,123462104,Sacm1l
115490317,115490398,Sppl3,2550304425504138,2550308025504190,AW554918
16916646,16916677,Sae1,79788594,79788633,Cbx7
21271367,21271457,Kcnd2,3746957137472294,3746957637472351,Strbp
76524061,76524141,Plekha3,7654015576545977,7654019676546024,Ttn
11144077,11144167,Zc3h7a,70296189,70296208,1110034A24Rik
123462012,123462092,Sacm1l,70963678,70963766,Dlgap1
106420474106420960,106420550106420960,Fam151a,106421022106423460,106421051106423520,Acot11
133711677,133711767,Pm20d1,163779871,163779886,AI848100
136713549136756060,136713600136756080,Mkks,1367561561367583e11,13675620113675838e10,2210009G21Rik
78350927,78351007,Fut8,123461908,123461996,Sacm1l
78350933,78351013,Fut8,123461911,123461999,Sacm1l
2612397326125903,2612398726125969,Adam9,2612906826135628,2612915526135629,Tm2d2
80645364,80645444,4930442H23Rik,8064471080645339,8064479580645342,Eef2
8083921,8084001,Gm3739,80875168088718,80875408088782,Gm3727
47757664,47757744,Pdia4,23697378,23697466,1700028P14Rik
2385348723859022,2385355023859039,Smap1,2384942323853422,2384946823853465,B3gat2
123462081,123462161,Sacm1l,70963743,70963831,Dlgap1
23489594,23489674,0610010F05Rik,66654505,66654593,Aff2
37227383,37227517,Dgki,1.2071138112071299e+17,120711384120713020,Col9a2
89699458972506,89699878972544,Ints5,89725828972903,89726368972937,Ganab
109202129,109202209,4930522H14Rik,109156656109172290,109156733109172290,Rnf11
15555226,15555291,Ube2v2,104817672,104817726,Cttnbp2nl
121266325121273600,121266405121273600,Oas1b,1354842413554012,1354843313554017,Tcp10c
123411737,123411817,Htr5b,123398535,123398623,Ccdc93
48300736,48300816,Csmd3,57595902,57595990,Edc3
30538030,30538136,Ctnnd2,38779786,38779804,Plce1
116023934116024350,116024019116024380,Fbf1,83574160,83574177,Heatr6
132220386,132220466,Eya3,118114815118115100,118114864118115140,Mrvi1
56223574,56223654,C230081A13Rik,70963678,70963766,Dlgap1
123462082,123462162,Sacm1l,70963745,70963833,Dlgap1
8879588188832554e16,8879589388832567e16,Gm2022,87201526,87201614,Rad51c
93093458,93093539,Ccdc158,9309357093139448,9309359793139508,Shroom3
123461989,123462069,Sacm1l,70963681,70963769,Dlgap1
70963665,70963760,Dlgap1,123462082,123462099,Sacm1l
17274557,17274637,Csmd1,130633519,130633607,4930402H24Rik
102939638,102939735,Plcd3,123462156,123462184,Sacm1l
71895737,71895817,Polr1a,47788070,47788158,Zfp398
69352101,69352158,Dnahc2,47788081,47788180,Zfp398
70310671,70310751,Rnf111,121936079,121936167,Spg11
101044586101048400,101044623101048460,Cntnap1,10104850110104944e10,10104852510104945e10,Ezh1
123461988,123462020,Sacm1l,2980596529807355,2980601029807408,Gle1
126115817,126115897,Gprc5b,126113706,126113794,Iqck
110281300,110281330,Scap,140828209,140828307,Macrod2
31176556,31176675,Cacna1d,123461971,123461994,Sacm1l
136713461,136713541,Mkks,136756075,136756163,2210009G21Rik
67433977,67434057,Cadm2,44861506,44861594,Zeb2
11218076,11218154,Gspt1,37185233,37185331,Pcdha4
78350927,78351007,Fut8,123461888,123461976,Sacm1l
78978655,78978735,Polr2f,7898790378990816,7898794878990859,Sox10
90923272,90923362,Nrxn1,67662677,67662734,Mdga2
8172683681739026,8172688981739053,Lphn3,53416982,53417070,Kif3a
76221915,76221995,Timm22,7623303076233201,7623310876233211,Abr
113756900,113756926,Atp2b2,76945476,76945574,Ptprd
123462142,123462175,Sacm1l,159340323,159340421,Rasal2
7832536578325641,7832541278325674,Tmem199,78325707,78325795,Poldip2
3694024636947067,3694026136947165,D5Ertd579e,36931258,36931292,Tbc1d14
84626923,84626962,Dner,20809058,20809171,Arhgap21
114611218,114611236,Dync1li1,47788078,47788179,Zfp398
63593315,63593383,Adam23,48284708,48284740,Rexo2
136713532,136713574,Mkks,136713572136756060,136713600136756140,2210009G21Rik
112578199,112578257,Map3k1,123461913,123462013,Sacm1l
103550754,103550834,Odz4,33967400,33967488,Wdfy4
39286233,39286313,Npas2,2352455723525495,2352461523525525,Fam126a
5453457654548223,5453459454548285,Plekha8,54534441,54534529,Fkbp14
123462015,123462095,Sacm1l,70963690,70963778,Dlgap1
124763917124766100,124763924124766160,Usp5,124763779,124763868,Tpi1
105459829,105459909,Kcnd3,105519607,105519695,6530418L21Rik
124760911,124760978,Tpi1,123462082,123462121,Sacm1l
42730645,42730673,Opn5,31268013,31268111,Prkg1
3013390230134796,3013391230134866,Lrrc8a,3013715930137281,3013718230137346,Phyhd1
123461798,123461878,Sacm1l,41570673,41570761,Lsamp
77104387,77104479,Ptprd,158023195,158023243,Lrrc7
69738623,69738703,Srd5a1,6970410769738557,6970417369738579,Nsun2
52796053,52796133,Ap4s1,5279617752880638,5279620052880703,Hectd1
123462034,123462114,Sacm1l,70963692,70963780,Dlgap1
139895235139901100,139895288139901120,Lhpp,139901138,139901226,Fgfr2
3692163,3692243,Ankib1,123462082,123462128,Sacm1l
47047004705067,47047154705142,Fam71e2,46990834704127,46991064704178,Cox6b2
83227818,83227880,Smarca5,46643596,46643694,Cap2
41658890,41658940,Il11ra1,4165893841661972,4165896141662047,Dctn3
63144026,63144085,Ino80d,11017672,11017770,Fbxo30
123461974,123462081,Sacm1l,81589686,81589735,Ncam2
20029836,20029926,Etl4,97190560,97190584,Ankdd1b
114851999,114852036,Ube3b,123462068,123462140,Sacm1l
24937268,24937348,D130043K22Rik,2492611924927540,2492614824927599,Tdp2
35476275,35476355,Sil1,31293744,31293832,Hmcn2
46551334,46551414,Coro2a,46548797,46548885,Trim14
8293583,8293694,Adarb2,52438415,52438434,Slc35f1
123739556,123739572,Wdr66,33335110,33335236,Camk4
8874887588761725,8874890288761778,Gon4l,8874799888748778,8874801088748854,Dap3
120265966,120265982,Ganc,115974878,115974976,Gadl1
106420433,106420513,Fam151a,106420982106423460,106421051106423490,Acot11
32243177,32243258,Sgms1,156526122,156526210,Negr1
17776744,17776778,Gnai1,93182054,93182152,Shroom3
88577141,88577221,Phkb,104862139,104862229,Clns1a
125975452125983040,125975461125983120,Dtwd1,125975323,125975411,4930525F21Rik
76100546,76100636,Nxn,65706107,65706121,Trip4
101029180101030420,101029258101030400,Plekhh3,101030465101033900,101030503101033950,Cntnap1
5279619052880638,5279620052880708,Hectd1,52796094,52796182,Ap4s1
72236540,72236620,Timm9,72223431,72223519,Tomm20l
123462034,123462082,Sacm1l,156550982,156551080,Negr1
88476792,88476872,Trim43a,88464672,88464760,Zfp949
115489511,115489591,Sppl3,70963672,70963760,Dlgap1
102327669,102327760,Cntn3,9142195791444568,9142196891444574,Ckap5
57595910,57595990,Edc3,52007857,52007946,Gm7247
69051500,69051590,Rora,24411997,24412011,Dpy19l2
101904227,101904307,Rps6ka5,49684324,49684413,Omd
59893888,59893978,Epha6,77075999,77076042,Mctp1
123462021,123462043,Sacm1l,78350923,78351030,Fut8
123462122,123462187,Sacm1l,9724248,9724346,Grm3
162790610,162790700,Gpm6b,111843254,111843319,Dync1h1
121206751121207140,121206810121207170,Oas3,70391882,70391946,Psd3
77543713,77543793,Loxhd1,77484373,77484461,St8sia5
167331631,167331711,Dcaf6,125478101,125478189,Ankrd11
121640816,121640896,Cdh13,37893137,37893225,Trim24
59898649,59898777,Bmpr2,147902981147903360,147902993147903360,Mtor
123462034,123462082,Sacm1l,47788071,47788180,Zfp398
36931332,36931412,Tbc1d14,36940118,36940206,D5Ertd579e
15743600,15743621,Nek10,123462047,123462152,Sacm1l
123462034,123462114,Sacm1l,70963691,70963779,Dlgap1
1008264210088701,1008269010088733,Rab3il1,10070332100705633e7,1007034810070624e8,Best1
127226782,127226865,Rdh9,45930941,45931009,9130011E15Rik
21331950,21332030,Kcnd2,12655574,12655661,Usp9x
27738542,27738632,Trio,39222787,39222861,Nrg3
118674952,118675015,Itga9,123462082,123462108,Sacm1l
67667945,67668000,Mdga2,124593132,124593230,Fgf14
195002372,195002452,A130010J15Rik,195002508,195002596,Traf3ip3
144095831,144095911,Mgmt,35928005,35928093,Dtx3l
123462019,123462099,Sacm1l,70963673,70963761,Dlgap1
34312456,34312536,Slc22a23,112239947,112240035,2410042D21Rik
20619432,20619512,Camk2n2,20619263,20619352,Ece2
3219854432198682,3219856232198725,Rrp1b,84919394,84919450,Zfyve1
78350927,78351007,Fut8,123461930,123462018,Sacm1l
29792678,29792763,Ahcyl2,123461946,123461970,Sacm1l
123462006,123462086,Sacm1l,70963671,70963759,Dlgap1
69858286986020,69858406986088,Esrra,6985396,6985484,Trmt112
14732067,14732157,Gm281,88747060,88747137,Dap3
24980960,24981040,D130043K22Rik,49066754,49066842,Mbd5
