"","start1","end1","name1","start2","end2","name2"
"1",39848097,39848153,"IAPLTR2a",39847714,39847812,"IAPEz-int"
"2",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"3",39848009,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"4",39848009,39848089,"IAPEz-int",39848112,39848200,"IAPLTR2a"
"5",39847992,39848072,"IAPEz-int",39848093,39848181,"IAPLTR2a"
"6",39847992,39848072,"IAPEz-int",39848111,39848201,"IAPLTR2a"
"7",39848009,39848089,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"8",39847999,39848079,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"9",39848182,39848200,"IAPLTR2a",39847489,39847592,"IAPEz-int"
"10",39847995,39848075,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"11",39848182,39848201,"IAPLTR2a",39846352,39846486,"IAPEz-int"
"12",39847992,39848072,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"13",39847992,39848072,"IAPEz-int",39848093,39848181,"IAPLTR2a"
"14",39847991,39848071,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"15",39848144,39848201,"IAPLTR2a",39847224,39847287,"IAPEz-int"
"16",39847995,39848075,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"17",39847997,39848077,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"18",39848137,39848201,"IAPLTR2a",39847805,39847844,"IAPEz-int"
"19",39848138,39848201,"IAPLTR2a",39847150,39847207,"IAPEz-int"
"20",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"21",39848141,39848201,"IAPLTR2a",39847796,39847828,"IAPEz-int"
"22",39848008,39848088,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"23",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"24",39848140,39848199,"IAPLTR2a",39847366,39847398,"IAPEz-int"
"25",39847988,39848068,"IAPEz-int",39848113,39848201,"IAPLTR2a"
"26",39848121,39848181,"IAPLTR2a",39847927,39847982,"IAPEz-int"
"27",39847997,39848077,"IAPEz-int",39848112,39848200,"IAPLTR2a"
"28",39848121,39848201,"IAPLTR2a",39847517,39847547,"IAPEz-int"
